Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Octahedral Factor,Tolerance Factor
167.0,167.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.8202438661763951
76.0,76.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.7149927304191113
76.0,76.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.7149927304191113
76.0,76.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.7149927304191113
76.0,76.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.7149927304191113
76.0,76.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.7149927304191113
76.0,76.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.7149927304191113
76.0,76.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.7149927304191113
76.0,76.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.7149927304191113
102.0,102.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.7833376237679969
102.0,102.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.7833376237679969
102.0,102.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.7833376237679969
102.0,102.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.7833376237679969
102.0,102.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.7833376237679969
102.0,102.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.7833376237679969
102.0,102.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.7833376237679969
102.0,102.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.7833376237679969
138.0,138.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.8779690145587616
138.0,138.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.8779690145587616
138.0,138.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.8779690145587616
138.0,138.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.8779690145587616
138.0,138.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.8779690145587616
138.0,138.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.8779690145587616
138.0,138.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.8779690145587616
138.0,138.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.8779690145587616
152.0,152.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.9147701109773924
152.0,152.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.9147701109773924
152.0,152.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.9147701109773924
152.0,152.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.9147701109773924
152.0,152.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.9147701109773924
152.0,152.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.9147701109773924
152.0,152.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.9147701109773924
152.0,152.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.9147701109773924
167.0,167.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.9541998571402109
167.0,167.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.9541998571402109
167.0,167.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.9541998571402109
167.0,167.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.9541998571402109
167.0,167.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.9541998571402109
167.0,167.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.9541998571402109
167.0,167.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.9541998571402109
167.0,167.0,73,196.0,196.0,196.0,196.0,0.37244897959183676,0.9541998571402109
76.0,76.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.6244579366322757
76.0,76.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.6244579366322757
76.0,76.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.6244579366322757
76.0,76.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.6244579366322757
76.0,76.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.6244579366322757
76.0,76.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.6244579366322757
76.0,76.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.6244579366322757
76.0,76.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.6244579366322757
102.0,102.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.6841487688103608
102.0,102.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.6841487688103608
102.0,102.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.6841487688103608
102.0,102.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.6841487688103608
102.0,102.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.6841487688103608
102.0,102.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.6841487688103608
102.0,102.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.6841487688103608
102.0,102.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.6841487688103608
138.0,138.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.7667976133646326
138.0,138.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.7667976133646326
138.0,138.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.7667976133646326
138.0,138.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.7667976133646326
138.0,138.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.7667976133646326
138.0,138.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.7667976133646326
138.0,138.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.7667976133646326
138.0,138.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.7667976133646326
152.0,152.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.7989388306912939
152.0,152.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.7989388306912939
152.0,152.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.7989388306912939
152.0,152.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.7989388306912939
152.0,152.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.7989388306912939
152.0,152.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.7989388306912939
152.0,152.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.7989388306912939
152.0,152.0,112,196.0,196.0,196.0,196.0,0.5714285714285714,0.7989388306912939
