Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,ion
Na,Na,Pb,Cl,Cl,Cl,Cl,Li
Na,Na,Pb,Cl,Cl,Cl,Cl,Zn
Na,Na,Pb,Cl,Cl,Cl,Cl,K
Na,Na,Pb,Cl,Cl,Cl,Cl,Na
Na,Na,Pb,Cl,Cl,Cl,Cl,Al
Na,Na,Pb,Cl,Cl,Cl,Cl,Ca
Na,Na,Pb,Cl,Cl,Cl,Cl,Mg
Na,Na,Pb,Cl,Cl,Cl,Cl,F
K,K,Pb,Cl,Cl,Cl,Cl,Li
K,K,Pb,Cl,Cl,Cl,Cl,Zn
K,K,Pb,Cl,Cl,Cl,Cl,K
K,K,Pb,Cl,Cl,Cl,Cl,Na
K,K,Pb,Cl,Cl,Cl,Cl,Al
K,K,Pb,Cl,Cl,Cl,Cl,Ca
K,K,Pb,Cl,Cl,Cl,Cl,Mg
K,K,Pb,Cl,Cl,Cl,Cl,F
Rb,Rb,Pb,Cl,Cl,Cl,Cl,Li
Rb,Rb,Pb,Cl,Cl,Cl,Cl,Zn
Rb,Rb,Pb,Cl,Cl,Cl,Cl,K
Rb,Rb,Pb,Cl,Cl,Cl,Cl,Na
Rb,Rb,Pb,Cl,Cl,Cl,Cl,Al
Rb,Rb,Pb,Cl,Cl,Cl,Cl,Ca
Rb,Rb,Pb,Cl,Cl,Cl,Cl,Mg
Rb,Rb,Pb,Cl,Cl,Cl,Cl,F
Cs,Cs,Pb,Cl,Cl,Cl,Cl,Li
Cs,Cs,Pb,Cl,Cl,Cl,Cl,Zn
Cs,Cs,Pb,Cl,Cl,Cl,Cl,K
Cs,Cs,Pb,Cl,Cl,Cl,Cl,Na
Cs,Cs,Pb,Cl,Cl,Cl,Cl,Al
Cs,Cs,Pb,Cl,Cl,Cl,Cl,Ca
Cs,Cs,Pb,Cl,Cl,Cl,Cl,Mg
Cs,Cs,Pb,Cl,Cl,Cl,Cl,F
Li,Li,Ge,Br,Br,Br,Br,Li
Li,Li,Ge,Br,Br,Br,Br,Zn
Li,Li,Ge,Br,Br,Br,Br,K
Li,Li,Ge,Br,Br,Br,Br,Na
Li,Li,Ge,Br,Br,Br,Br,Al
Li,Li,Ge,Br,Br,Br,Br,Ca
Li,Li,Ge,Br,Br,Br,Br,Mg
Li,Li,Ge,Br,Br,Br,Br,F
Na,Na,Ge,Br,Br,Br,Br,Li
Na,Na,Ge,Br,Br,Br,Br,Zn
Na,Na,Ge,Br,Br,Br,Br,K
