,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7
392,167.0,167.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
393,167.0,167.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
394,167.0,167.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
395,167.0,167.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
396,167.0,167.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
397,167.0,167.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
398,167.0,167.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
399,167.0,167.0,73,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
400,76.0,76.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
401,76.0,76.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
402,76.0,76.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
403,76.0,76.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
404,76.0,76.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
405,76.0,76.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
406,76.0,76.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
407,76.0,76.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
408,102.0,102.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
409,102.0,102.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
410,102.0,102.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
411,102.0,102.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
412,102.0,102.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
413,102.0,102.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
414,102.0,102.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
415,102.0,102.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
416,138.0,138.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
417,138.0,138.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
418,138.0,138.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
419,138.0,138.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
420,138.0,138.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
421,138.0,138.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
422,138.0,138.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
423,138.0,138.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
424,196.0,196.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
425,196.0,196.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
426,196.0,196.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
427,196.0,196.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
428,196.0,196.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
429,196.0,196.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
430,196.0,196.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
431,196.0,196.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
432,167.0,167.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
433,167.0,167.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
434,167.0,167.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
435,167.0,167.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
436,167.0,167.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
