Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7
Cs,Cs,Ge,Cl,Cl,Cl,Cl
Cs,Cs,Ge,Cl,Cl,Cl,Cl
Li,Li,Sn,Cl,Cl,Cl,Cl
Li,Li,Sn,Cl,Cl,Cl,Cl
Li,Li,Sn,Cl,Cl,Cl,Cl
Li,Li,Sn,Cl,Cl,Cl,Cl
Li,Li,Sn,Cl,Cl,Cl,Cl
Li,Li,Sn,Cl,Cl,Cl,Cl
Li,Li,Sn,Cl,Cl,Cl,Cl
Li,Li,Sn,Cl,Cl,Cl,Cl
Na,Na,Sn,Cl,Cl,Cl,Cl
Na,Na,Sn,Cl,Cl,Cl,Cl
Na,Na,Sn,Cl,Cl,Cl,Cl
Na,Na,Sn,Cl,Cl,Cl,Cl
Na,Na,Sn,Cl,Cl,Cl,Cl
Na,Na,Sn,Cl,Cl,Cl,Cl
Na,Na,Sn,Cl,Cl,Cl,Cl
Na,Na,Sn,Cl,Cl,Cl,Cl
K,K,Sn,Cl,Cl,Cl,Cl
K,K,Sn,Cl,Cl,Cl,Cl
K,K,Sn,Cl,Cl,Cl,Cl
K,K,Sn,Cl,Cl,Cl,Cl
K,K,Sn,Cl,Cl,Cl,Cl
K,K,Sn,Cl,Cl,Cl,Cl
K,K,Sn,Cl,Cl,Cl,Cl
K,K,Sn,Cl,Cl,Cl,Cl
Rb,Rb,Sn,Cl,Cl,Cl,Cl
Rb,Rb,Sn,Cl,Cl,Cl,Cl
Rb,Rb,Sn,Cl,Cl,Cl,Cl
