Name,Ion,Adsorption energy(ev)
LiLiSnBrBrBrBr,Al3+,3.04119922
LiLiSnBrBrBrBr,Ca2+,-2.675458383
LiLiSnBrBrBrBr,Mg2+,0.487566449
LiLiSnBrBrBrBr,F-,-7.95174036
NaNaSnBrBrBrBr,Li+,-2.839699997
NaNaSnBrBrBrBr,Zn2+,2.558381046
NaNaSnBrBrBrBr,K+,-2.698761058
NaNaSnBrBrBrBr,Na+,-1.233050877
NaNaSnBrBrBrBr,Al3+,2.309209146
NaNaSnBrBrBrBr,Ca2+,-3.269812888
NaNaSnBrBrBrBr,Mg2+,0.817946482
NaNaSnBrBrBrBr,F-,-5.461986229
KKSnBrBrBrBr,Li+,-3.072908978
KKSnBrBrBrBr,Zn2+,2.046885603
KKSnBrBrBrBr,K+,-2.563643288
KKSnBrBrBrBr,Na+,-1.682443258
KKSnBrBrBrBr,Al3+,1.142216712
KKSnBrBrBrBr,Ca2+,-3.924250679
KKSnBrBrBrBr,Mg2+,0.265304223
KKSnBrBrBrBr,F-,-4.370440536
RbRbSnBrBrBrBr,Li+,-3.283149653
RbRbSnBrBrBrBr,Zn2+,1.654439228
RbRbSnBrBrBrBr,K+,-2.697407787
RbRbSnBrBrBrBr,Na+,-1.687915478
RbRbSnBrBrBrBr,Al3+,0.364659654
RbRbSnBrBrBrBr,Ca2+,-4.396521985
RbRbSnBrBrBrBr,Mg2+,-0.142344015
RbRbSnBrBrBrBr,F-,-4.003351832
CsCsSnBrBrBrBr,Li+,-3.618727929
CsCsSnBrBrBrBr,Zn2+,1.01529827
CsCsSnBrBrBrBr,K+,-2.994156912
CsCsSnBrBrBrBr,Na+,-1.863758247
CsCsSnBrBrBrBr,Al3+,-0.754693335
CsCsSnBrBrBrBr,Ca2+,-5.17328642
CsCsSnBrBrBrBr,Mg2+,-0.76016936
CsCsSnBrBrBrBr,F-,-3.52769741
LiLiPbBrBrBrBr,Li+,-2.629859272
LiLiPbBrBrBrBr,Zn2+,2.793518701
LiLiPbBrBrBrBr,K+,-3.396844849
LiLiPbBrBrBrBr,Na+,-2.932110251
LiLiPbBrBrBrBr,Al3+,0.568969699
LiLiPbBrBrBrBr,Ca2+,-3.481208078
LiLiPbBrBrBrBr,Mg2+,0.41862778
LiLiPbBrBrBrBr,F-,-7.577180309
NaNaPbBrBrBrBr,Li+,-3.208354722
NaNaPbBrBrBrBr,Zn2+,2.339983328
NaNaPbBrBrBrBr,K+,-3.090886542
NaNaPbBrBrBrBr,Na+,-2.235478592
NaNaPbBrBrBrBr,Al3+,3.194554868
NaNaPbBrBrBrBr,Ca2+,-3.763210792
NaNaPbBrBrBrBr,Mg2+,-1.367225082
NaNaPbBrBrBrBr,F-,-5.921768822
KKPbBrBrBrBr,Li+,-3.251266291
KKPbBrBrBrBr,Zn2+,1.961799659
KKPbBrBrBrBr,K+,-2.697098285
KKPbBrBrBrBr,Na+,-1.937367321
KKPbBrBrBrBr,Al3+,2.155314893
KKPbBrBrBrBr,Ca2+,-4.163995735
KKPbBrBrBrBr,Mg2+,-0.081841731
KKPbBrBrBrBr,F-,-4.255445634
RbRbPbBrBrBrBr,Li+,-3.422556462
RbRbPbBrBrBrBr,Zn2+,1.50145417
RbRbPbBrBrBrBr,K+,-2.839820998
RbRbPbBrBrBrBr,Na+,-2.024826475
RbRbPbBrBrBrBr,Al3+,1.449149644
RbRbPbBrBrBrBr,Ca2+,-4.922604798
RbRbPbBrBrBrBr,Mg2+,-0.49769957
RbRbPbBrBrBrBr,F-,-3.763873228
CsCsPbBrBrBrBr,Li+,-3.585963918
CsCsPbBrBrBrBr,Zn2+,0.712497018
CsCsPbBrBrBrBr,K+,-3.10960854
CsCsPbBrBrBrBr,Na+,-1.988023562
CsCsPbBrBrBrBr,Al3+,0.267880575
CsCsPbBrBrBrBr,Ca2+,-5.670890481
CsCsPbBrBrBrBr,Mg2+,-1.042678632
CsCsPbBrBrBrBr,F-,-3.320683492
LiLiGeIIII,Li+,-2.896874273
LiLiGeIIII,Zn2+,1.946509322
LiLiGeIIII,K+,-3.263341069
LiLiGeIIII,Na+,-2.519109838
LiLiGeIIII,Al3+,2.153486384
LiLiGeIIII,Ca2+,-3.5020574
LiLiGeIIII,Mg2+,-0.311828017
LiLiGeIIII,F-,-6.673732386
NaNaGeIIII,Li+,-3.339728773
NaNaGeIIII,Zn2+,1.283746535
NaNaGeIIII,K+,-2.911618234
NaNaGeIIII,Na+,-2.244245986
NaNaGeIIII,Al3+,1.308457481
NaNaGeIIII,Ca2+,-4.087381641
NaNaGeIIII,Mg2+,-0.045381935
NaNaGeIIII,F-,-4.868616741
KKGeIIII,Li+,-3.570042727
KKGeIIII,Zn2+,0.615274524
KKGeIIII,K+,-3.000425173
KKGeIIII,Na+,-2.169208992
KKGeIIII,Al3+,-0.063778507
KKGeIIII,Ca2+,-4.819501567
KKGeIIII,Mg2+,-0.690465708
KKGeIIII,F-,-4.088727741
RbRbGeIIII,Li+,-3.6995217
RbRbGeIIII,Zn2+,0.499425599
RbRbGeIIII,K+,-3.156836351
RbRbGeIIII,Na+,-1.991794827
RbRbGeIIII,Al3+,-0.617390147
RbRbGeIIII,Ca2+,-5.108031851
RbRbGeIIII,Mg2+,-0.97442747
RbRbGeIIII,F-,-3.602593513
CsCsGeIIII,Li+,-3.995653647
CsCsGeIIII,Zn2+,-0.083450109
CsCsGeIIII,K+,-3.257371416
CsCsGeIIII,Na+,-2.272015647
CsCsGeIIII,Al3+,-1.674917321
CsCsGeIIII,Ca2+,-3.89216521
CsCsGeIIII,Mg2+,-1.578579333
CsCsGeIIII,F-,-3.219533915
LiLiSnIIII,Li+,-3.043420917
LiLiSnIIII,Zn2+,1.348589968
LiLiSnIIII,K+,-3.508765594
LiLiSnIIII,Na+,-1.509997419
LiLiSnIIII,Al3+,1.590966762
LiLiSnIIII,Ca2+,-4.046300787
LiLiSnIIII,Mg2+,0.110027942
LiLiSnIIII,F-,-6.766782712
NaNaSnIIII,Li+,-3.755186833
NaNaSnIIII,Zn2+,1.123357933
NaNaSnIIII,K+,-3.202380854
NaNaSnIIII,Na+,-1.867441781
NaNaSnIIII,Al3+,0.7145222
NaNaSnIIII,Ca2+,-4.426068347
NaNaSnIIII,Mg2+,-0.511066085
NaNaSnIIII,F-,-4.883217029
KKSnIIII,Li+,-3.794548876
KKSnIIII,Zn2+,0.310069093
KKSnIIII,K+,-3.20444936
KKSnIIII,Na+,-2.397775014
KKSnIIII,Al3+,-0.646758806
KKSnIIII,Ca2+,-5.28423727
KKSnIIII,Mg2+,-1.068761305
KKSnIIII,F-,-3.846102305
RbRbSnIIII,Li+,-3.778757961
RbRbSnIIII,Zn2+,0.083589941
RbRbSnIIII,K+,-3.126879175
RbRbSnIIII,Na+,-2.208251047
RbRbSnIIII,Al3+,-1.133500626
RbRbSnIIII,Ca2+,-5.615487243
RbRbSnIIII,Mg2+,-1.411099095
RbRbSnIIII,F-,-3.323739068
CsCsSnIIII,Li+,-4.064306744
CsCsSnIIII,Zn2+,-0.606153225
CsCsSnIIII,K+,-3.382505205
CsCsSnIIII,Na+,-2.638980799
CsCsSnIIII,Al3+,-2.188401622
CsCsSnIIII,Ca2+,-6.258671298
CsCsSnIIII,Mg2+,-2.045388142
CsCsSnIIII,F-,-2.926091521
LiLiPbIIII,Li+,-3.316989417
LiLiPbIIII,Zn2+,0.416587415
LiLiPbIIII,K+,-3.95060446
LiLiPbIIII,Na+,-3.288874495
LiLiPbIIII,Al3+,1.872285546
LiLiPbIIII,Ca2+,-4.633142635
LiLiPbIIII,Mg2+,-0.904787285
LiLiPbIIII,F-,-5.775736413
NaNaPbIIII,Li+,-3.6735151
NaNaPbIIII,Zn2+,0.81813289
NaNaPbIIII,K+,-3.25716876
NaNaPbIIII,Na+,-2.08767269
NaNaPbIIII,Al3+,-1.84506027
NaNaPbIIII,Ca2+,-4.98395128
NaNaPbIIII,Mg2+,-0.79706633
NaNaPbIIII,F-,-4.42943892
KKPbIIII,Li+,-3.93326822
KKPbIIII,Zn2+,0.28093726
KKPbIIII,K+,-3.24094263
KKPbIIII,Na+,-2.38105073
KKPbIIII,Al3+,-0.43401691
KKPbIIII,Ca2+,-5.61925778
KKPbIIII,Mg2+,-1.19562479
KKPbIIII,F-,-3.53650962
RbRbPbIIII,Li+,-3.96367056
RbRbPbIIII,Zn2+,-0.13691434
RbRbPbIIII,K+,-3.31398576
RbRbPbIIII,Na+,-2.2727312
RbRbPbIIII,Al3+,-1.269125
RbRbPbIIII,Ca2+,-6.05673102
RbRbPbIIII,Mg2+,-1.69335811
RbRbPbIIII,F-,-3.07913861
CsCsPbIIII,Li+,-4.30445886
CsCsPbIIII,Zn2+,-0.71410464
CsCsPbIIII,K+,-3.73375114
CsCsPbIIII,Na+,-2.55508241
CsCsPbIIII,Al3+,-2.33855126
CsCsPbIIII,Ca2+,-6.69776263
CsCsPbIIII,Mg2+,-2.27567059
CsCsPbIIII,F-,-2.62309955
LiNaGeFFFF,Li+,-5.628848848
LiNaGeFFFF,Zn2+,0.46119047
LiNaGeFFFF,K+,-5.788894863
LiNaGeFFFF,Na+,-4.771051435
LiNaGeFFFF,Al3+,3.053174502
LiNaGeFFFF,Ca2+,-4.350135228
LiNaGeFFFF,Mg2+,-2.956228987
LiNaGeFFFF,F-,-10.68953885
NaKGeClClClCl,Li+,-3.037949263
NaKGeClClClCl,Zn2+,3.110428896
NaKGeClClClCl,K+,-2.84855708
NaKGeClClClCl,Na+,-1.390329103
NaKGeClClClCl,Al3+,2.112454689
NaKGeClClClCl,Ca2+,-2.345213996
NaKGeClClClCl,Mg2+,1.209911129
NaKGeClClClCl,F-,-6.400817426
KCsSnClClClCl,Li+,-3.11754651
KCsSnClClClCl,Zn2+,2.689901216
KCsSnClClClCl,K+,-2.2892919
KCsSnClClClCl,Na+,-1.216871748
KCsSnClClClCl,Al3+,1.080513515
KCsSnClClClCl,Ca2+,-3.650217045
KCsSnClClClCl,Mg2+,-1.172353361
KCsSnClClClCl,F-,-4.425981741
LiKSnBrBrBrBr,Li+,-2.681618007
LiKSnBrBrBrBr,Zn2+,2.736257285
LiKSnBrBrBrBr,K+,-3.338405201
LiKSnBrBrBrBr,Na+,-1.140728931
LiKSnBrBrBrBr,Al3+,1.700994509
LiKSnBrBrBrBr,Ca2+,-3.88500145
LiKSnBrBrBrBr,Mg2+,0.5521624
LiKSnBrBrBrBr,F-,-6.480617032
KRbPbBrBrBrBr,Li+,-3.33761558
KRbPbBrBrBrBr,Zn2+,1.705432562
KRbPbBrBrBrBr,K+,-2.737731549
KRbPbBrBrBrBr,Na+,-1.591148288
KRbPbBrBrBrBr,Al3+,1.76427147
KRbPbBrBrBrBr,Ca2+,-4.464413367
KRbPbBrBrBrBr,Mg2+,-0.161745528
KRbPbBrBrBrBr,F-,-3.903271227
RbCsPbIIII,Li+,-4.21639311
RbCsPbIIII,Zn2+,-0.49320652
RbCsPbIIII,K+,-3.45265161
RbCsPbIIII,Na+,-2.51935921
RbCsPbIIII,Al3+,-1.81397402
RbCsPbIIII,Ca2+,-6.35592353
RbCsPbIIII,Mg2+,-1.97767141
RbCsPbIIII,F-,-2.93612377
LiLiGeFFFCl,Li+,-7.267518412
LiLiGeFFFCl,Zn2+,3.571823398
LiLiGeFFFCl,K+,-5.26959855
LiLiGeFFFCl,Na+,-4.885398418
LiLiGeFFFCl,Al3+,2.836765167
LiLiGeFFFCl,Ca2+,-4.163086614
LiLiGeFFFCl,Mg2+,-1.308253974
LiLiGeFFFCl,F-,-12.59620188
NaNaGeFFFCl,Li+,-1.119221305
NaNaGeFFFCl,Zn2+,5.455622857
NaNaGeFFFCl,K+,-0.520410637
NaNaGeFFFCl,Na+,0.51981719
NaNaGeFFFCl,Al3+,6.230326825
NaNaGeFFFCl,Ca2+,-0.628306191
NaNaGeFFFCl,Mg2+,2.018662629
NaNaGeFFFCl,F-,-6.109491478
LiLiSnClClClBr,Li+,-4.136070347
LiLiSnClClClBr,Zn2+,3.788295999
LiLiSnClClClBr,K+,-3.777993499
LiLiSnClClClBr,Na+,-2.630907286
LiLiSnClClClBr,Al3+,3.509939084
LiLiSnClClClBr,Ca2+,-3.616258045
LiLiSnClClClBr,Mg2+,0.495336912
LiLiSnClClClBr,F-,-8.293686205
NaNaSnClClClBr,Li+,-3.59258614
NaNaSnClClClBr,Zn2+,3.056507699
NaNaSnClClClBr,K+,-2.232802428
NaNaSnClClClBr,Na+,-1.14524051
NaNaSnClClClBr,Al3+,2.676666933
NaNaSnClClClBr,Ca2+,-2.484189021
NaNaSnClClClBr,Mg2+,1.284531489
NaNaSnClClClBr,F-,-6.546731428
LiLiPbBrBrBrI,Li+,-4.459126808
LiLiPbBrBrBrI,Zn2+,2.287693566
LiLiPbBrBrBrI,K+,-3.860768429
LiLiPbBrBrBrI,Na+,-1.990985537
LiLiPbBrBrBrI,Al3+,0.129939785
LiLiPbBrBrBrI,Ca2+,-2.20279966
LiLiPbBrBrBrI,Mg2+,0.185973737
LiLiPbBrBrBrI,F-,-7.277926501
NaNaPbBrBrBrI,Li+,-3.42560755
NaNaPbBrBrBrI,Zn2+,2.01257451
NaNaPbBrBrBrI,K+,-2.97430881
NaNaPbBrBrBrI,Na+,-2.41467994
NaNaPbBrBrBrI,Al3+,2.64381949
NaNaPbBrBrBrI,Ca2+,-3.8280446
NaNaPbBrBrBrI,Mg2+,-1.20808942
NaNaPbBrBrBrI,F-,-5.63831974
KKGeFFClCl,Li+,-2.230510291
KKGeFFClCl,Zn2+,3.736194609
KKGeFFClCl,K+,-1.315644012
KKGeFFClCl,Na+,-0.528533857
KKGeFFClCl,Al3+,4.862582111
KKGeFFClCl,Ca2+,-1.730258343
KKGeFFClCl,Mg2+,0.677377468
KKGeFFClCl,F-,-5.328098241
RbRbGeFFFBr,Li+,-2.456665965
