,unstable_Element_1,unstable_Element_2,unstable_Element_3,unstable_Element_4,unstable_Element_5,unstable_Element_6,unstable_Element_7,unstable_ion
626,0.29619506,0.29619506,0.3053288,0.17255755,0.17255755,0.17255755,0.12309439,0.28220642
627,0.29619506,0.29619506,0.3053288,0.17255755,0.17255755,0.17255755,0.12309439,0.3616813
628,0.29619506,0.29619506,0.3053288,0.17255755,0.17255755,0.17255755,0.12309439,0.23554452
629,0.29619506,0.29619506,0.3053288,0.17255755,0.17255755,0.17255755,0.12309439,0.27205002
630,0.29619506,0.29619506,0.3053288,0.17255755,0.17255755,0.17255755,0.12309439,0.28138033
631,0.29619506,0.29619506,0.3053288,0.17255755,0.17255755,0.17255755,0.12309439,0.17255755
632,0.29619506,0.29619506,0.28992674,0.22166106,0.22166106,0.12309439,0.12309439,0.42468417
633,0.29619506,0.29619506,0.28992674,0.22166106,0.22166106,0.12309439,0.12309439,0.28466654
634,0.29619506,0.29619506,0.28992674,0.22166106,0.22166106,0.12309439,0.12309439,0.28220642
635,0.29619506,0.29619506,0.28992674,0.22166106,0.22166106,0.12309439,0.12309439,0.3616813
636,0.29619506,0.29619506,0.28992674,0.22166106,0.22166106,0.12309439,0.12309439,0.23554452
637,0.29619506,0.29619506,0.28992674,0.22166106,0.22166106,0.12309439,0.12309439,0.27205002
638,0.29619506,0.29619506,0.28992674,0.22166106,0.22166106,0.12309439,0.12309439,0.28138033
639,0.29619506,0.29619506,0.28992674,0.22166106,0.22166106,0.12309439,0.12309439,0.17255755
