,photo_A1,photo_A2,photo_B,photo_X1,photo_X2,photo_X3,photo_X4
135,0.24808288,0.24808288,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
136,0.24078286,0.24078286,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
137,0.24078286,0.24078286,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
138,0.24078286,0.24078286,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
139,0.24078286,0.24078286,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
140,0.24078286,0.24078286,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
141,0.24078286,0.24078286,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
142,0.24078286,0.24078286,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
143,0.24078286,0.24078286,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
144,0.30728492,0.30728492,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
145,0.30728492,0.30728492,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
146,0.30728492,0.30728492,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
147,0.30728492,0.30728492,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
148,0.30728492,0.30728492,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
149,0.30728492,0.30728492,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
150,0.30728492,0.30728492,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
151,0.30728492,0.30728492,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
152,0.32346746,0.32346746,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
153,0.32346746,0.32346746,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
154,0.32346746,0.32346746,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
155,0.32346746,0.32346746,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
156,0.32346746,0.32346746,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
157,0.32346746,0.32346746,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
158,0.32346746,0.32346746,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
159,0.32346746,0.32346746,0.2188383,0.14601703,0.14601703,0.14601703,0.14601703
160,0.21369803,0.21369803,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
161,0.21369803,0.21369803,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
162,0.21369803,0.21369803,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
