,A2 NumberofProtons,X4 NumberofNeutrons,Ion Specific Heat,Ion Density,X3 AtomicRadius,X4 Firstlonization,Ion Firstlonization,X2 AtomicMass,A1 Melting Point,X1 Melting Point,Ion Melting Point,Without ion Final Energy(ev),With ion Final Energy(ev),Adsorption energy(ev)
134,3,18,1.023,1.74,0.97,12.9676,7.6462,35.453,453.85,172.31,923.15,-4638.725673,-6326.281108,0
135,55,10,0.897,2.7,0.57,17.4228,5.9858,18.998,301.7,53.63,933.4,-6248.282588,-6354.684667,0
136,11,74,0.897,2.7,1.3,10.4513,5.9858,126.904,371.15,386.65,933.4,-7847.815822,-7954.231499,0
137,55,45,0.388,7.13,1.1,11.8138,9.3942,79.904,301.7,266.05,692.88,-8842.112292,-10876.98409,0
138,19,18,1.023,1.74,0.97,12.9676,7.6462,18.998,336.5,53.63,923.15,-6296.270377,-7983.8845,0
139,37,18,1.023,1.74,0.97,12.9676,7.6462,35.453,312.79,172.31,923.15,-5617.54622,-7305.189762,0
140,37,10,0.388,7.13,0.57,17.4228,9.3942,18.998,312.79,53.63,692.88,-6567.604186,-8602.552793,0
141,19,45,1.023,1.74,1.1,11.8138,7.6462,79.904,336.5,266.05,923.15,-5982.225723,-7669.890855,0
142,19,74,0.388,7.13,1.3,10.4513,9.3942,126.904,336.5,386.65,692.88,-7311.272416,-9346.241441,0
143,3,45,0.897,2.7,1.1,11.8138,5.9858,79.904,453.85,266.05,933.4,-7694.23077,-7800.792,0
144,19,45,1.023,1.74,1.1,11.8138,7.6462,79.904,453.85,266.05,923.15,-4903.262548,-6591.001886,0
145,11,18,1.228,0.971,0.57,12.9676,5.1391,18.998,371.15,53.63,371.15,-7561.567175,-8865.228358,0
146,37,18,1.023,1.74,0.97,12.9676,7.6462,35.453,312.79,172.31,923.15,-5128.741271,-6816.531848,0
147,37,74,0.388,7.13,1.3,10.4513,9.3942,126.904,312.79,386.65,692.88,-7109.915657,-9145.000531,0
148,3,45,1.023,1.74,0.97,11.8138,7.6462,35.453,453.85,172.31,923.15,-4190.742257,-5878.538421,0
149,3,45,1.023,1.74,1.1,11.8138,7.6462,79.904,453.85,266.05,923.15,-4313.218895,-6001.022829,0
150,11,18,1.023,1.74,0.97,12.9676,7.6462,35.453,371.15,172.31,923.15,-9736.743457,-11424.56655,0
151,11,10,0.388,7.13,0.57,17.4228,9.3942,18.998,453.85,53.63,692.88,-6691.40951,-8726.53262,0
152,37,45,0.897,2.7,1.1,11.8138,5.9858,79.904,312.79,266.05,933.4,-5780.669715,-5887.372709,0
153,3,45,1.023,1.74,1.1,11.8138,7.6462,79.904,453.85,266.05,923.15,-7694.23077,-9382.103642,0
154,3,74,0.388,7.13,1.3,10.4513,9.3942,126.904,453.85,386.65,692.88,-9023.120631,-11058.28834,0
155,3,10,0.388,7.13,0.57,17.4228,9.3942,18.998,453.85,53.63,692.88,-5587.936867,-7623.125935,0
156,37,45,0.897,2.7,1.1,11.8138,5.9858,79.904,312.79,266.05,933.4,-5291.778399,-5398.543939,0
157,19,74,0.388,7.13,1.3,10.4513,9.3942,126.904,336.5,386.65,692.88,-6822.075172,-8857.349403,0
158,19,74,0.388,7.13,1.3,10.4513,9.3942,126.904,336.5,386.65,692.88,-10203.06356,-12238.36693,0
159,37,18,1.023,1.74,0.97,12.9676,7.6462,35.453,312.79,172.31,923.15,-8509.822242,-10197.84147,0
160,55,45,0.897,2.7,1.1,11.8138,5.9858,79.904,301.7,266.05,933.4,-8842.112292,-8948.974611,0
161,19,45,1.023,1.74,1.1,11.8138,7.6462,79.904,336.5,266.05,923.15,-5493.301198,-7181.327394,0
162,3,74,1.023,1.74,1.1,10.4513,7.6462,79.904,453.85,266.05,923.15,-8026.537709,-9714.643235,0
163,37,45,1.023,1.74,1.1,11.8138,7.6462,79.904,312.79,266.05,923.15,-5780.669715,-7468.782979,0
164,37,10,1.023,1.74,0.57,17.4228,7.6462,18.998,312.79,53.63,923.15,-9459.697537,-11147.83132,0
165,55,10,1.023,1.74,0.57,17.4228,7.6462,18.998,301.7,53.63,923.15,-9629.213756,-11317.37203,0
166,3,74,0.897,2.7,1.1,10.4513,5.9858,79.904,453.85,266.05,933.4,-8026.537709,-8133.537969,0
167,3,74,1.023,1.74,1.3,10.4513,7.6462,126.904,453.85,386.65,923.15,-5642.303438,-7330.48491,0
168,55,74,0.388,7.13,1.3,10.4513,9.3942,79.904,301.7,266.05,692.88,-6125.679725,-8161.155556,0
169,19,74,1.023,1.74,1.1,10.4513,7.6462,35.453,336.5,53.63,923.15,-9362.816322,-11051.00248,0
170,19,18,1.023,1.74,1.3,12.9676,7.6462,79.904,336.5,266.05,923.15,-5784.632888,-7472.825842,0
171,37,74,0.388,7.13,1.3,10.4513,9.3942,126.904,312.79,386.65,692.88,-6620.778866,-8656.279576,0
172,55,18,0.897,2.7,0.97,12.9676,5.9858,35.453,301.7,172.31,933.4,-5298.103631,-5405.151073,0
173,55,18,1.023,1.74,0.97,12.9676,7.6462,35.453,301.7,172.31,923.15,-5786.899021,-7475.214732,1
174,11,74,1.023,1.74,1.3,10.4513,7.6462,126.904,371.15,386.65,923.15,-8337.023484,-10025.36037,1
175,19,74,0.897,2.7,1.3,10.4513,5.9858,126.904,336.5,386.65,933.4,-7311.272416,-7418.466394,1
176,19,45,1.023,1.74,1.1,11.8138,7.6462,79.904,336.5,266.05,923.15,-8874.309696,-10562.68304,1
177,55,74,0.388,7.13,1.3,10.4513,9.3942,126.904,301.7,386.65,692.88,-7279.26879,-9314.936541,1
178,55,18,1.023,1.74,0.97,12.9676,7.6462,35.453,301.7,172.31,923.15,-5298.103631,-6986.492789,1
179,37,74,0.388,7.13,1.3,10.4513,9.3942,126.904,312.79,386.65,692.88,-10001.63084,-12037.35205,1
180,37,45,1.023,1.74,1.1,11.8138,7.6462,79.904,312.79,266.05,923.15,-5291.778399,-6980.212243,1
181,37,74,0.897,2.7,1.3,10.4513,5.9858,35.453,312.79,266.05,933.4,-5874.601158,-5981.882426,1
182,37,45,1.023,1.74,1.1,11.8138,7.6462,79.904,336.5,266.05,923.15,-8773.559922,-10462.01317,1
183,55,18,0.897,2.7,0.97,12.9676,5.9858,35.453,301.7,172.31,933.4,-5786.899021,-5894.216752,1
184,55,18,0.388,7.13,1.3,12.9676,9.3942,126.904,301.7,386.65,692.88,-9797.945739,-11833.79052,1
185,37,45,1.023,1.74,0.57,11.8138,7.6462,18.998,312.79,53.63,923.15,-6373.053415,-8061.638212,1
186,3,74,1.023,1.74,1.3,10.4513,7.6462,126.904,453.85,386.65,923.15,-6131.508999,-7820.112327,1
187,55,10,1.023,1.74,0.57,17.4228,7.6462,18.998,301.7,53.63,923.15,-6248.282588,-7936.951232,1
188,55,18,1.023,1.74,0.97,12.9676,7.6462,35.453,301.7,172.31,923.15,-8679.194419,-10367.88979,1
189,3,18,1.228,0.971,0.97,12.9676,5.1391,35.453,453.85,172.31,371.15,-7533.576049,-8838.161979,1
190,19,74,0.897,2.7,1.3,10.4513,5.9858,126.904,336.5,386.65,933.4,-10203.06356,-10310.62778,1
191,37,74,1.023,1.74,1.3,10.4513,7.6462,35.453,312.79,266.05,923.15,-5874.601158,-7563.354657,1
192,55,45,1.023,1.74,1.1,11.8138,7.6462,79.904,301.7,266.05,923.15,-5949.968748,-7638.748491,1
193,55,74,0.388,7.13,1.3,10.4513,9.3942,126.904,312.79,386.65,692.88,-10086.33636,-12122.41387,1
194,37,45,1.023,1.74,1.1,11.8138,7.6462,79.904,312.79,266.05,923.15,-8672.777297,-10361.5665,1
195,11,74,1.023,1.74,1.3,10.4513,7.6462,126.904,371.15,386.65,923.15,-7847.815822,-9536.618388,1
196,11,18,0.757,0.862,0.57,12.9676,4.3407,18.998,371.15,53.63,336.5,-7561.567175,-8352.440686,1
197,19,18,1.228,0.971,0.97,12.9676,5.1391,18.998,336.5,53.63,371.15,-6296.270377,-7600.979911,1
198,37,45,1.228,0.971,0.57,11.8138,5.1391,18.998,312.79,53.63,371.15,-6373.053415,-7677.797059,1
199,55,74,0.388,7.13,1.3,10.4513,9.3942,126.904,301.7,386.65,692.88,-6790.158099,-8826.348553,1
200,37,74,0.897,2.7,1.3,10.4513,5.9858,126.904,312.79,386.65,933.4,-7109.915657,-7217.663247,1
201,11,18,0.647,1.54,0.57,12.9676,6.1132,18.998,371.15,53.63,1112.15,-7561.567175,-8564.535282,1
202,19,74,0.897,2.7,1.3,10.4513,5.9858,126.904,336.5,386.65,933.4,-6822.075172,-6929.852131,1
203,19,74,1.023,1.74,1.3,10.4513,7.6462,126.904,336.5,386.65,923.15,-7311.272416,-9000.254382,1
204,55,74,0.388,7.13,1.3,10.4513,9.3942,126.904,301.7,386.65,692.88,-10171.02572,-12207.32412,1
205,55,45,0.897,2.7,1.1,11.8138,5.9858,79.904,301.7,266.05,933.4,-5949.968748,-6057.815016,1
206,55,45,0.897,2.7,1.1,11.8138,5.9858,79.904,301.7,266.05,933.4,-5461.108635,-5568.993529,1
207,55,45,1.023,1.74,1.1,11.8138,7.6462,79.904,301.7,266.05,923.15,-5461.108635,-7150.160305,1
208,55,10,0.388,7.13,0.57,17.4228,9.3942,18.998,301.7,53.63,692.88,-6737.099574,-8773.475368,1
209,11,74,1.023,1.74,1.3,10.4513,7.6462,126.904,371.15,386.65,923.15,-11228.63344,-12917.722,1
210,37,74,1.228,0.971,0.57,10.4513,5.1391,18.998,312.79,53.63,371.15,-9596.362342,-10901.41263,1
211,3,74,1.023,1.74,1.3,10.4513,7.6462,126.904,453.85,386.65,923.15,-9023.120631,-10712.31692,1
212,3,18,0.647,1.54,0.97,12.9676,6.1132,35.453,453.85,172.31,1112.15,-7533.576049,-8536.88295,1
213,37,74,1.023,1.74,1.3,10.4513,7.6462,126.904,312.79,386.65,923.15,-7109.915657,-8799.181584,1
214,19,18,1.023,1.74,0.97,12.9676,7.6462,35.453,336.5,172.31,923.15,-8711.538467,-10400.82089,1
215,55,45,1.023,1.74,1.1,11.8138,7.6462,79.904,301.7,266.05,923.15,-8842.112292,-10531.44647,1
216,19,74,1.023,1.74,1.3,10.4513,7.6462,126.904,336.5,386.65,923.15,-6822.075172,-8511.435433,1
217,11,18,1.228,0.971,0.97,12.9676,5.1391,35.453,371.15,172.31,371.15,-6355.65018,-7660.913295,1
218,11,18,3.582,0.534,0.57,12.9676,5.3917,18.998,371.15,53.63,453.85,-7561.567175,-7762.734297,1
219,37,74,0.897,2.7,1.3,10.4513,5.9858,126.904,312.79,386.65,933.4,-6620.778866,-6729.042567,1
220,11,45,1.228,0.971,1.1,11.8138,5.1391,79.904,371.15,266.05,371.15,-7007.75117,-8313.067555,1
